all_flow_lemon,ipv4_flow,ipv6_flow,arp_flow,tcp_flow,udp_flow,icmp_flow,
60413347,55182158,5218064,13830,50766379,8288898,1247808,
60661483,55413449,5234864,13904,50974429,8323551,1252887,
60898329,55633643,5251321,13924,51179175,8351153,1257096,
61111740,55833938,5264577,13940,51363679,8375859,1260834,
61317050,56026722,5277011,14036,51541409,8400422,1264144,
61565572,56260290,5291854,14054,51757845,8428227,1267859,
61802636,56481452,5307918,14074,51962842,8456628,1271516,
62043964,56703243,5327290,14150,52162809,8493282,1275865,
62281135,56921553,5346185,14176,52360186,8527894,1280727,
62524540,57144393,5366646,14262,52566390,8560238,1285342,
62766399,57361171,5391818,14280,52770812,8592422,1290444,
63006574,57579763,5413282,14360,52975636,8623060,1294671,
63245751,57798337,5433782,14384,53180450,8652827,1298929,
63481755,58016966,5451046,14408,53387460,8677860,1302655,
63687911,58197437,5476818,14522,53561126,8706865,1306176,
63936654,58423243,5499541,14618,53773585,8738054,1310801,
64177028,58640352,5522728,14690,53978497,8768613,1315304,
64414005,58853563,5546566,14770,54175450,8803737,1320217,
64653840,59073715,5565829,15008,54370962,8840741,1326809,
64895842,59302288,5579130,15108,54557102,8890609,1332512,
65140755,59535476,5590815,15236,54754970,8932375,1337535,
65377162,59760994,5601661,15262,54949058,8969164,1342832,
65613973,59988698,5610440,15562,55139682,9009079,1348702,
65835146,60200588,5619840,15590,55319842,9045204,1353674,
66048039,60406673,5626448,15696,55497996,9075658,1357704,
66279851,60626399,5638369,15758,55685816,9113838,1362640,
66473417,60809451,5648690,15784,55845189,9143085,1366766,
66652951,60979289,5658110,16054,55990982,9172159,1371012,
66832338,61149492,5667309,16080,56136922,9200682,1375817,
67012084,61320977,5675479,16200,56284342,9228616,1379892,
67193088,61493250,5684154,16209,56428655,9260964,1383817,
67370117,61662175,5692227,16234,56574469,9287776,1387961,
67553143,61834291,5702964,16387,56721203,9319906,1391981,
67735882,62005175,5714909,16400,56869594,9350129,1395713,
67918155,62173844,5728479,16425,57026287,9372106,1399315,
68098799,62342767,5740156,16476,57181193,9394063,1402812,
68282054,62511151,5754986,16501,57336374,9417697,1407045,
68460843,62678444,5766382,16552,57487898,9441424,1410309,
68652849,62858401,5778470,16575,57650164,9467366,1414022,
68841793,63033231,5792513,16594,57809221,9493206,1417714,
69037239,63217264,5803894,16661,57974427,9519392,1421556,
69228865,63395888,5816823,16684,58139241,9542388,1425051,
69412197,63567955,5828099,16704,58296290,9565051,1428423,
69601331,63745339,5839784,16782,58459292,9587581,1431862,
69777569,63911430,5849882,16794,58602220,9617605,1434825,
69997238,64116972,5864094,16824,58779123,9656076,1439592,
70236959,64336724,5883333,16902,58972090,9694247,1445189,
70465843,64548473,5901158,16936,59158653,9733142,1450972,
70704892,64770080,5918468,17018,59353444,9771249,1456427,
70940378,64986980,5937074,17050,59550758,9804541,1461169,
71155629,65183698,5955371,17118,59723471,9841836,1465622,
71329879,65340054,5973247,17134,59865629,9870085,1469095,
71492233,65487894,5987189,17150,60002513,9890992,1472064,
71657652,65639984,6001088,17228,60142470,9914672,1475263,
71837956,65804336,6016887,17248,60293935,9939396,1478853,
72020094,65971832,6031594,17262,60444360,9967386,1482425,
72203225,66136839,6049054,17332,60592748,9996642,1485964,
72380531,66297978,6065700,17348,60743881,10020969,1489148,
72563139,66463466,6082311,17362,60896207,10045483,1493202,
72742377,66626468,6099125,17370,61051081,10068024,1496495,
72924263,66792064,6115439,17438,61203383,10093561,1500462,
73098393,66950913,6130568,17450,61342566,10123630,1504923,
73268801,67107429,6143860,17512,61478781,10152571,1508655,
73453246,67270657,6165704,17524,61629720,10182270,1513508,
73635818,67411155,6207824,17538,61783324,10206745,1518029,
73810422,67539708,6253713,17598,61929484,10230334,1522149,
73989065,67676872,6295185,17610,62079516,10254326,1526471,
74154745,67809291,6328458,17626,62214373,10280976,1530634,
74338300,67956850,6364364,17688,62361927,10312393,1534764,
74523852,68099416,6407401,17704,62515010,10339624,1539824,
74709985,68242003,6450925,17720,62667309,10368020,1544749,
74887619,68384657,6485871,17776,62811462,10398052,1548210,
75071959,68531576,6523213,17792,62963102,10425839,1552581,
75258583,68676768,6564557,17804,63116475,10454388,1556988,
75445495,68824402,6603787,17870,63270376,10483037,1560928,
75627741,68964747,6645704,17934,63424089,10507502,1564771,
75809690,69106147,6686217,17952,63578136,10531562,1568466,
75985393,69244075,6723947,17968,63725170,10556116,1572260,
76173319,69397463,6758449,18030,63876903,10588861,1575755,
